GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
CHIAChecker,it.polimi.checker,SatisfactionValue,9,39,0,0,0,4,2,2,2,2
CHIAChecker,it.polimi.checker,SatisfactionValue.new SatisfactionValue() {...},0,8,0,0,0,2,0,2,0,2
CHIAChecker,it.polimi.checker,SatisfactionValue.new SatisfactionValue() {...},0,8,0,0,0,2,0,2,0,2
CHIAChecker,it.polimi.checker,SatisfactionValue.new SatisfactionValue() {...},0,8,0,0,0,2,0,2,0,2
CHIAChecker,it.polimi.checker,Checker,5,184,1,13,2,66,1,15,0,9
CHIAChecker,it.polimi.checker,ModelCheckingInfo,12,331,0,0,4,97,4,39,4,39
CHIAChecker,it.polimi.checker.intersection.acceptingpolicies,AcceptingPolicy.AcceptingType,21,29,0,0,1,2,2,2,2,2
CHIAChecker,it.polimi.checker.intersection.acceptingpolicies,KripkeAcceptingPolicy,0,104,0,6,0,29,0,6,0,3
CHIAChecker,it.polimi.checker.intersection.acceptingpolicies,AcceptingPolicy,13,63,1,3,2,24,1,7,0,6
CHIAChecker,it.polimi.checker.intersection.acceptingpolicies,BAAcceptingPolicy,0,91,0,14,0,29,0,10,0,3
CHIAChecker,it.polimi.checker.emptiness,EmptinessChecker,0,261,0,24,0,65,0,17,0,5
CHIAChecker,it.polimi.checker.abstractor,Abstractor,0,41,0,4,0,11,0,4,0,2
CHIAChecker,it.polimi.checker.intersection,IntersectionBuilder,5,1068,4,58,2,297,4,49,0,22
CHIAChecker,it.polimi.checker.intersection,IntersectionTransitionBuilder,0,127,0,14,0,35,0,11,0,4
CHIAChecker,it.polimi.checker.ibablackboxstateremove,IBABlackBoxRemover,0,36,0,2,0,11,0,3,0,2
